Sample,Mineral,Pipe,Diamond_High,Craton,Mg,Al,Si,Ca,V,Cr,Mn,Co,Ni,Mg_clr,Al_clr,Si_clr,Ca_clr,V_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9
    Ap27M07,OP,KIT,no,Slave,174300,2919,272700,725.6,12.65,1035,641.7,33.41,409.8,4.888631522,0.799094661,5.336225859,-0.592902811,-4.642244495,-0.237745004,-0.715780805,-3.671046453,-1.164232474,-0.271682382,0.159225347,0.12813283,-0.018657084,0.08700466,-0.115888951,0.006353745,0.026561291,-1.39E-17
    Ap27M08,OP,KIT,no,Slave,370200,64.59,271700,514.76,5.73,143.6,994.9,148.6,2915.3,5.895088856,-2.758650223,5.585743973,-0.68300905,-5.180994292,-1.959678166,-0.024067593,-1.925451691,1.051018187,-0.968087689,-0.068310707,-0.295228828,0.008388808,0.165112139,0.100061839,0.070430132,0.000512951,-1.67E-16
    Ap27M09,OP,KIT,no,Slave,273800,179.84,271900,1642,2.11,146,1223,158.1,3180.2,5.45389047,-1.874195155,5.446926909,0.337407568,-6.319574774,-2.0826561,0.042799414,-2.003034977,0.998436645,-0.873612081,-0.022543475,-0.443062727,-0.082077087,-0.153394861,-0.091830478,0.006552354,-0.075192919,1.94E-16
    Ap27M10,OP,KIT,no,Slave,167300,2735,271300,2177,27.19,1218,649.2,40.19,526.1,4.585235085,0.471577912,5.068671696,0.243394259,-4.139459544,-0.337343354,-0.966567967,-3.748690594,-1.176817494,-0.056032745,0.190737334,0.01377448,0.070072388,0.021512201,0.047658904,0.04149549,0.006362505,-1.53E-16
    Ap27M11,OP,KIT,no,Slave,167100,6560,273000,857.6,22.07,1250,658.6,31.76,410.2,4.662287119,1.424685286,5.153166478,-0.609922806,-4.269841376,-0.233161766,-0.873944226,-3.90585296,-1.34741575,-0.099979164,0.210881424,0.158146568,0.038285122,0.131025602,-0.13826461,0.032509817,-0.006476714,0
    Ap27M12,OP,KIT,no,Slave,145500,2373,273300,1872,12.96,1182,656.8,35.81,580.8,4.579067616,0.463046507,5.209461622,0.225898908,-4.746996059,-0.233900552,-0.821484191,-3.730636565,-0.944457286,-0.168028896,0.185660731,0.012402258,-0.013351779,-0.059785533,-0.02402442,-0.023214022,-0.003134933,0
    Ap27D11,OP,ZERO,no,Kaapvaal,170300,2321,272900,1897,12.76,1206,777.3,38.62,546.2,4.699325593,0.403762132,5.170869433,0.202037696,-4.799675996,-0.250926897,-0.690164898,-3.692220997,-1.043006065,-0.201733176,0.174492509,-0.024609988,-0.057110702,-0.037613502,-0.043576586,0.006365188,0.006687641,2.22E-16
    Ap27I04,OP,ZERO,no,Kaapvaal,149800,7458,263800,7552,54.77,660.6,776.9,436.4,33.32,4.252286021,1.252272232,4.81817619,1.264797379,-3.66162773,-1.171621816,-1.009458687,-1.586211075,-4.158612512,0.268452495,-0.063883745,-0.185763368,0.189529181,-0.031603382,-0.032184903,0.090705533,0.022080611,-3.05E-16
    Ap27I05,OP,ZERO,no,Kaapvaal,149300,6905,263400,6418,56.48,639.3,779.8,415.2,34.95,4.276159468,1.202447551,4.843875553,1.129308306,-3.603666922,-1.177179687,-0.978516039,-1.608793183,-4.083635047,0.246741968,-0.064184456,-0.176427812,0.189033575,0.00269205,-0.031004008,0.084931179,0.026151648,6.94E-18
    Ap27I06,OP,ZERO,no,Kaapvaal,133600,4808,271000,1479,21.59,2111,511.6,547.3,15.93,4.4551023,1.130533236,5.16237086,-0.048381778,-4.275272996,0.307413808,-1.109960171,-1.042506142,-4.579299116,0.082912122,-0.121217453,0.216473495,-0.015638392,-0.008843654,-0.033831359,0.022484437,-0.027553927,9.71E-17
