Number,Sample,Mineral,Pipe,Diamond_High,Craton,Na,Mg,Al,Si,Ca,Sc,Ti,Cr,Mn,Co,Ni,Rb,Sr,Y,Zr,Ba,Nd,Eu,Yb,Lu,Ta,U,Na_clr,Mg_clr,Al_clr,Si_clr,Ca_clr,Sc_clr,Ti_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,Rb_clr,Sr_clr,Y_clr,Zr_clr,Ba_clr,Nd_clr,Eu_clr,Yb_clr,Lu_clr,Ta_clr,U_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
56,    Ap24B19,CRD,PANDA,yes,Slave,7608,66060,2745,257800,164200,51.79,309.8,8577,379.5,13.71,250.1,0.096919361,876.7,3.17,22.12,26.06,22.37,1.08,0.13,0.01,0.06,0.04,4.95,7.11,3.93,8.47,8.02,-0.04,1.75,5.07,1.95,-1.37,1.54,-6.32,2.79,-2.83,-0.89,-0.73,-0.88,-3.91,-6.03,-8.59,-6.80,-7.21,0.292626251,-0.210240926,-0.199303518,0.025167086,0.073649021,-0.080951257,-0.031469042,-0.123193215,-0.054721752,0.065274632,0.065787839,-0.083523389,0.056940573,0.068405334,0.026196811,0.080606206,-0.018882365,0.005848042,-0.003475072,-0.005215178,-0.007615327,-1.80E-16
57,    Ap24B20,CRD,PANDA,yes,Slave,13020,66200,11230,257200,131000,20.03,1344,6163,613.2,18.12,313.2,0.12,245.7,2.22,12.28,1.58,12.31,0.58,0.12,0.00700767,0.04,0.01,5.73,7.36,5.58,8.71,8.04,-0.75,3.46,4.98,2.68,-0.85,2.00,-5.86,1.76,-2.95,-1.23,-3.29,-1.23,-4.29,-5.86,-8.70,-6.96,-8.35,0.061546612,0.06374338,-0.12990917,0.072400456,-0.085735715,-0.127061755,0.028175775,-0.056002108,0.025261338,0.051379074,-0.033012831,0.058500309,0.018871437,-0.010157825,0.018602366,0.002418278,0.011220704,-0.006359845,0.007433665,-0.010522489,-0.006254161,-2.32E-16
58,    Ap24B21,CRD,PANDA,yes,Slave,14220,70950,8408,256700,129400,23.19,770.6,15880,617.6,18.95,341.1,0.08373791,203.4,0.85,4.93,1.44,7.83,0.38,0.026135212,0.004863023,0.03,0.01,6.05,7.66,5.52,8.94,8.26,-0.37,3.13,6.16,2.91,-0.57,2.32,-5.99,1.80,-3.68,-1.92,-3.15,-1.46,-4.48,-7.16,-8.84,-7.02,-8.12,0.082316758,0.168151223,-0.012314463,-0.058502097,-0.040173961,-0.138688572,0.051768425,0.025110178,0.014366531,0.003393416,0.030482904,-0.026528233,-0.009918392,0.024936748,-0.002200249,-0.030851876,0.008084198,-0.005594888,0.007677517,-0.010843817,-0.003934167,-6.59E-17
59,    Ap24G26,CRD,PANDA,yes,Slave,12020,79380,10180,256300,123900,15.97,376.1,6797,524.4,17.43,305.9,0.059438504,230.7,1.09,7.01,0.61,11.12,0.41,0.06,0.006226564,0.02,0.007407219,5.97,7.85,5.80,9.03,8.30,-0.66,2.50,5.40,2.83,-0.57,2.30,-6.25,2.01,-3.34,-1.48,-3.92,-1.02,-4.32,-6.24,-8.51,-7.34,-8.33,0.031877887,0.160185754,-0.123220477,-0.011172314,0.06551231,-0.134500882,-0.031383769,-0.012819303,-0.013118179,0.022044776,-0.041313777,0.009959969,0.021054058,-0.018123021,-0.002244881,-0.001675929,0.011034772,-0.000659874,0.002729189,-0.001805351,-0.001438438,6.25E-17
60,    Ap27C13,CRD,KIT,no,Slave,18980,73660,18420,253800,147000,26.15,452.3,8189,435.7,189.8,3.504525136,80.05,0.672767635,1.17,0.14,0.72,0.73,0.08,0.04,0.02,0.01,0.006718576,6.74,8.10,6.71,9.33,8.79,0.15,3.00,5.90,2.97,2.13,-1.86,1.27,-3.51,-2.95,-5.08,-3.44,-3.43,-5.64,-6.33,-7.02,-7.72,-8.11,-0.40830841,-0.126628382,0.481079038,0.326772459,-0.118680896,0.03734449,-0.169480179,0.496845748,-0.200231234,0.071835835,0.0167154,-0.015293214,0.005333456,-0.004859394,-0.003701648,0.032003738,0.001542302,-0.010445525,0.028024597,-0.005901641,-0.007717052,-7.08E-16
61,    Ap27E13,CRD,KIT,no,Slave,30660,51290,18510,257900,143.5897047,350.3,353.1,210.4,184,266,72.17,86.89,0.87,5.17,0.026974497,0.050475964,3.99,0.32,0.021071561,0.003900362,0.003112008,0.005719402,7.61,8.12,7.11,9.74,2.25,3.14,3.15,2.63,2.49,2.86,1.56,1.74,-2.86,-1.08,-6.33,-5.71,-1.34,-3.86,-6.58,-8.27,-8.49,-7.88,-0.77509706,-0.186610057,0.026469467,-0.169921417,0.044396617,-0.091996954,0.053798556,-0.022510574,-0.000323917,0.017285145,0.025765024,0.006348039,-0.006550626,0.008170659,-0.02305967,-0.00093855,0.014462334,-0.007940966,0.006910188,-0.011666535,0.00205582,3.28E-16
62,    Ap27E14,CRD,KIT,no,Slave,36900,45900,21300,259800,123.9900646,489.3,430.5,195.2,191.6,150.6,67.91,51.58,0.74,6.08,0.031993982,0.052550439,2.63,0.23,0.024243475,0.0050009,0.003333985,0.003378982,7.85,8.07,7.30,9.80,2.15,3.53,3.40,2.61,2.59,2.35,1.55,1.28,-2.97,-0.86,-6.11,-5.61,-1.70,-4.14,-6.39,-7.96,-8.37,-8.36,-0.805434994,-0.150823093,0.056911345,-0.099213546,-0.023848357,-0.091517399,0.011050854,-0.019607379,0.024773246,-0.047018888,0.017982243,0.000723398,-0.008091194,-0.003553391,0.000456509,-0.016371684,-0.014125494,0.016305475,-0.017324104,0.005645895,-0.00142343,-2.91E-16
63,    Ap27E15,CRD,KIT,no,Slave,31500,48950,17420,258100,173.5146213,380.3,352.8,173.4,173,243.9,60.68,65.49,0.405935346,4.91,0.27,0.083220591,2.62,0.18,0.025100926,0.003959514,0.01,0.00577771,7.56,8.00,6.97,9.66,2.36,3.14,3.07,2.36,2.35,2.70,1.31,1.38,-3.70,-1.21,-4.11,-5.29,-1.84,-4.52,-6.49,-8.33,-7.41,-7.95,-0.693782982,-0.211351209,0.119144454,-0.135468564,-0.084985642,-0.030278036,-0.040120235,-0.016743044,0.021707286,-0.024768116,-0.086450942,-0.054469515,0.010305229,0.010568961,0.01761598,0.035889847,0.030816648,-0.018816511,0.030287573,0.000166899,0.006050345,3.19E-16
64,    Ap27E16,CRD,KIT,no,Slave,32000,51580,18120,257600,169.502981,342,331.1,197.6,180.3,262.3,63.71,82.32,0.88,4.82,0.025828018,0.066056726,3.61,0.33,0.019707548,0.004264716,0.002980001,0.01,7.63,8.11,7.06,9.72,2.39,3.09,3.06,2.54,2.45,2.83,1.41,1.67,-2.87,-1.17,-6.40,-5.46,-1.46,-3.85,-6.67,-8.20,-8.56,-7.35,-0.757867719,-0.21348929,0.039325758,-0.172311366,0.058343312,-0.033136679,0.068623308,-0.002119011,-0.01194036,0.029021801,0.037558825,-0.009731095,-0.02014744,0.013069257,-0.017500611,-0.001253831,0.005093906,-0.011943649,-0.004355016,-0.00960168,0.004808489,2.60E-16
65,    Ap27E17,CRD,KIT,no,Slave,32180,48740,18110,256900,130.3096509,323.6,380.9,131.7,173.7,213.3,83.17,50.8,0.432031172,4.14,0.02845667,0.067691643,1.93,0.14,0.04,0.00550388,0.001809373,0.01,7.77,8.18,7.19,9.84,2.26,3.17,3.33,2.27,2.55,2.75,1.81,1.32,-3.45,-1.19,-6.17,-5.30,-1.95,-4.58,-5.83,-7.81,-8.93,-7.22,-0.802685848,-0.142398787,0.123259808,-0.059092548,0.031066302,0.070553145,0.067743453,-0.051983782,-0.03189721,-0.087865076,-0.03999919,0.005073476,-0.001635921,0.011659914,0.008991477,0.002304407,-0.011059329,0.005617297,0.004978313,-0.004414239,-0.000604567,-1.30E-16
