Number,Sample,Mineral,Pipe,Diamond_High,Craton,Na,Mg,Al,Si,Ca,Sc,Ti,Cr,Mn,Co,Ni,Rb,Sr,Y,Zr,Ba,Nd,Eu,Yb,Lu,Ta,U,Na_clr,Mg_clr,Al_clr,Si_clr,Ca_clr,Sc_clr,Ti_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,Rb_clr,Sr_clr,Y_clr,Zr_clr,Ba_clr,Nd_clr,Eu_clr,Yb_clr,Lu_clr,Ta_clr,U_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
76,    Ap27F08,CRD,KIT,no,Slave,38100,48490,19300,256300,111400,28.08,461.3,129.4,191.4,35.13,117,0.025368346,40.26,0.58,7.54,0.032317202,1.3,0.18,0.018654335,0.00401512,0.006243594,0.001460988,7.88,8.12,7.20,9.79,8.95,0.67,3.47,2.19,2.59,0.89,2.09,-6.34,1.03,-3.21,-0.65,-6.10,-2.41,-4.38,-6.65,-8.19,-7.74,-9.20,-0.353613271,0.316602634,-0.096976182,-0.048513289,-0.20123446,0.074386055,-0.223481062,0.016326931,0.017870115,0.073030409,-0.000356137,-0.014453578,0.012979514,0.006679354,0.035946362,0.003759632,-0.013578587,-0.002653897,-0.017218401,0.004905493,0.012367025,1.32E-16
77,    Ap27F09,CRD,KIT,no,Slave,12860,75400,8419,256900,125000,14.68,1126,3061,529,18.68,177.9,0.04198709,133.5,1.06,4.76,0.86,5.44,0.26,0.1,0.006651796,0.01,0.006431566,6.16,7.93,5.74,9.16,8.44,-0.61,3.73,4.73,2.97,-0.37,1.88,-6.47,1.59,-3.24,-1.74,-3.45,-1.61,-4.65,-5.60,-8.31,-7.91,-8.35,-0.061778213,0.203913208,-0.053681023,0.145141041,-0.045959071,-0.059732168,0.031504027,-0.007527349,-0.027269251,0.032003332,-0.02913176,0.036630832,0.070389262,0.005996049,0.056880671,0.011574167,-0.007270125,-0.010040574,-0.006781051,0.009360699,0.003667972,-1.25E-16
78,    Ap27F10,CRD,KIT,no,Slave,31220,50440,17240,255900,116900,25.66,464,206.7,197.8,36.26,433.1,0.039258763,79.43,0.74,5.13,0.071414493,3.08,0.31,0.025473962,0.004861802,0.003359734,0.01,7.38,7.86,6.79,9.49,8.71,0.28,3.18,2.37,2.32,0.63,3.11,-6.20,1.41,-3.27,-1.33,-5.60,-1.84,-4.14,-6.63,-8.29,-8.66,-7.57,-0.247777096,0.244057775,-0.191427416,-0.128233578,-0.058011451,0.179858375,-0.059146199,-0.09360672,-0.005560324,0.029199529,0.028700462,0.010265024,-0.022895388,0.012927086,-0.017362018,-0.018051864,0.010529765,0.010383403,0.017492407,-0.005662304,-0.008760812,-3.00E-16
79,    Ap27F11,CRD,KIT,no,Slave,31290,53530,17430,255900,118500,24.41,390,237.8,199.5,36.03,307.7,0.041160278,89.45,0.8,5.41,0.064451364,4.08,0.37,0.025241925,0.005197411,0.00395152,0.01,7.36,7.90,6.78,9.46,8.69,0.21,2.98,2.48,2.31,0.60,2.74,-6.18,1.51,-3.21,-1.30,-5.73,-1.58,-3.98,-6.67,-8.25,-8.52,-7.59,-0.239701886,0.205494689,-0.222827824,-0.13354298,-0.025518824,0.147940893,-0.076219955,-0.050946989,-0.004798619,0.062136514,0.026025105,0.009702845,-0.00880918,0.006754158,-0.013301381,-0.011313864,0.00955366,0.003460992,0.010674231,-0.002614445,-0.006522467,-3.57E-16
80,    Ap22D05,CRD,NEW ELANDS,no,Kaapvaal,17740,42030,12600,257600,96350,17.83,357.6,13720,399.8,10.75,194.6,0.13,225.4,0.31,28.41,5.67,17.21,0.24,0.015799354,0.01,0.15,0.21,6.05,6.91,5.70,8.72,7.74,-0.86,2.14,5.79,2.25,-1.36,1.53,-5.78,1.68,-4.91,-0.39,-2.00,-0.89,-5.16,-7.89,-8.34,-5.63,-5.30,0.334535736,-0.108738288,0.0248093,-0.20051781,0.043215693,0.162988673,0.022683054,0.190368417,0.12113879,-0.073441297,-0.063537881,0.00611598,0.01216942,0.043197813,0.040111161,-0.006557493,0.027942653,-0.019571551,-0.006653297,-0.000580604,0.00432982,1.39E-17
81,    Ap22D06,CRD,NEW ELANDS,no,Kaapvaal,13070,48980,10900,254600,106500,49.87,720.3,10440,442.6,14.08,265.9,0.23,153.1,2.32,20.58,7.47,7.9,0.39,0.2,0.02,0.03,0.03,5.58,6.90,5.40,8.55,7.68,0.01,2.68,5.36,2.20,-1.25,1.69,-5.36,1.14,-3.05,-0.87,-1.88,-1.83,-4.84,-5.50,-7.81,-7.40,-7.40,0.122702059,-0.104111986,-0.062623691,0.166783429,-0.070614776,0.051080194,-0.046941656,-0.034180577,-0.036068415,-0.118614376,-0.01367882,0.015050372,-0.006631632,0.017622259,0.011696811,0.011698154,0.008130102,0.021593226,-0.000443921,-0.011364541,0.006215483,4.12E-16
82,    Ap22D07,CRD,NEW ELANDS,no,Kaapvaal,15170,46560,10660,256000,108500,46.08,918.2,11990,381.3,12.28,283.2,0.17,115.7,1.66,22.04,3.67,6.32,0.37,0.11,0.02,0.04,0.03,5.82,6.94,5.47,8.65,7.79,0.02,3.02,5.59,2.14,-1.30,1.84,-5.58,0.95,-3.30,-0.71,-2.51,-1.96,-4.80,-6.01,-7.72,-7.02,-7.31,0.118166294,-0.067225097,-0.056665584,0.12263256,-0.116828413,0.07229495,-0.035405975,0.00346017,0.0083282,-0.12730224,-0.001212654,-0.009409498,-0.012291197,0.031034815,-0.029900224,-0.001303692,-0.011886201,-0.006181538,0.001188703,-0.003927378,-0.000302191,8.39E-17
83,    Ap22D08,CRD,NEW ELANDS,no,Kaapvaal,18560,48890,11930,255700,102600,14.43,155.5,13890,370.1,9.8,185.1,0.089969039,233.1,0.28,4.97,0.72,17.55,0.22,0.009862783,0.006458417,0.06,0.03,6.51,7.48,6.06,9.13,8.22,-0.65,1.72,6.22,2.59,-1.04,1.90,-5.73,2.13,-4.60,-1.72,-3.65,-0.46,-4.84,-7.94,-8.36,-6.14,-6.83,0.187656519,0.054133101,-0.033777899,-0.246560777,0.144673412,-0.026368123,-0.047334355,0.198151363,0.089444296,-0.055340932,-0.041270832,0.024143365,0.027425436,0.020841326,0.001184423,-0.020120202,0.00201336,0.012150039,-0.003913851,0.004389433,-0.024916336,-1.19E-15
84,    Ap22D09,CRD,NEW ELANDS,no,Kaapvaal,14520,44710,9647,253700,111000,44.59,712.3,12300,451.7,14.9,315.4,0.086636,143.4,1.82,19.84,3.7,6.84,0.45,0.09,0.01,0.02,0.02,5.88,7.00,5.47,8.74,7.91,0.09,2.86,5.71,2.40,-1.01,2.05,-6.15,1.26,-3.11,-0.72,-2.40,-1.79,-4.51,-6.12,-8.31,-7.62,-7.62,0.101892484,-0.005179662,-0.098421794,0.072912267,-0.090390621,-0.008863269,-0.002715982,-0.029085815,-0.033843454,-0.087966848,0.02388147,-0.016729661,-0.05458536,0.025504527,0.020835515,0.011549962,0.021737792,0.00631684,0.00222535,-0.014255864,-0.00045348,2.62E-16
85,    Ap24G16,CRD,NEW ELANDS,no,Kaapvaal,14500,76110,12850,257800,128100,22.95,510.9,13240,420.5,13.62,262,0.086806747,74.22,0.91,7.91,0.4,5.88,0.3,0.021354416,0.006357521,0.04,0.08,6.11,7.77,5.99,8.99,8.29,-0.34,2.76,6.02,2.57,-0.86,2.09,-5.92,0.83,-3.57,-1.41,-4.39,-1.70,-4.68,-7.32,-8.53,-6.69,-6.00,0.081323779,0.07212799,9.68E-05,-0.108819889,-8.76E-05,0.095241834,0.091753041,0.118695186,0.015722497,-0.008443018,-0.077816511,-0.095095496,-0.059929189,0.017373317,-0.063398632,-0.014555302,-0.018254769,0.003686551,-0.034358689,0.007435272,-0.011229509,-4.86E-16
86,    Ap24G17,CRD,NEW ELANDS,no,Kaapvaal,14330,78050,11570,256300,147400,23.44,1296,10320,423.4,16.24,248.2,0.032496422,229.5,4.23,21.8,2.4,22.05,0.91,0.12,0.02,0.01,0.11,5.66,7.35,5.45,8.54,7.99,-0.76,3.26,5.33,2.14,-1.12,1.60,-7.34,1.53,-2.47,-0.83,-3.03,-0.82,-4.00,-6.03,-7.82,-8.52,-6.12,0.090547918,-0.09142116,-0.293997514,0.090127348,0.048456418,0.095129254,0.151447133,0.050071728,-0.019702994,0.009373723,0.023240519,-0.027800386,0.043099014,-0.030693177,-0.009294783,0.014414923,0.020482151,0.001853748,0.00934872,-0.000556098,-0.000554638,2.26E-16
87,    Ap24G18,CRD,NEW ELANDS,no,Kaapvaal,16130,86250,13050,257500,138400,23.96,1393,10750,520.5,17.19,290,0.102585523,171.2,2.1,16.87,1.73,9.95,0.55,0.1,0.006908016,0.06,0.01,5.90,7.58,5.69,8.67,8.05,-0.61,3.45,5.50,2.47,-0.94,1.88,-6.06,1.36,-3.04,-0.96,-3.24,-1.49,-4.38,-6.09,-8.76,-6.60,-8.39,0.068112413,0.063054178,-0.097671476,0.046132388,-0.139160666,-0.119215846,0.007066684,-0.018297833,-0.00417562,0.034350114,-0.050645829,0.006058684,0.044169964,-0.021898649,-0.018731285,-0.003027848,-0.002705807,-0.02004049,-0.017902442,-0.019528366,-0.007053952,-2.12E-16
88,    Ap24G19,CRD,NEW ELANDS,no,Kaapvaal,14960,74590,12650,256500,132400,58.74,776.2,13360,424.5,14.39,351,0.28,124.6,1.87,25.08,5.23,8.32,0.44,0.13,0.02,0.05,0.02,5.67,7.27,5.50,8.51,7.85,0.13,2.71,5.55,2.10,-1.28,1.91,-5.22,0.88,-3.32,-0.72,-2.29,-1.83,-4.77,-5.99,-7.86,-6.94,-7.86,0.113270959,-0.054179207,-0.050722114,0.104406177,-0.094381954,0.010183749,-0.079627905,-0.02780716,-0.025371847,-0.107105119,-0.0185022,-0.031221116,0.034413276,0.004326381,-0.051850802,-0.024854813,0.013260747,-0.002749667,-0.007234595,-0.004370698,-0.004584821,-1.21E-17
89,    Ap24G20,CRD,NEW ELANDS,no,Kaapvaal,14130,76220,11700,254300,131200,54.46,754.7,13770,431.2,14.85,348.6,0.54,114.4,1.54,21.81,6,7.25,0.42,0.14,0.01,0.05,0.02,5.64,7.32,5.45,8.53,7.86,0.08,2.71,5.61,2.15,-1.22,1.93,-4.54,0.82,-3.49,-0.84,-2.13,-1.94,-4.79,-5.89,-8.52,-6.92,-7.83,0.124909371,-0.044953177,-0.009075106,0.064589455,-0.122697459,-0.015026662,-0.050201733,-0.058039945,-0.079091161,-0.072773078,-0.045608212,-0.014525876,0.017804798,0.022243659,-0.037320493,-0.008927343,0.028109786,-0.002653431,-0.023359698,-0.001829999,-0.006149146,-4.34E-17
90,    Ap24G21,CRD,NEW ELANDS,no,Kaapvaal,13420,71360,10550,254500,125200,54.26,768,14110,452.3,15.09,345.4,0.67,133.2,1.95,25.49,78.46,8,0.47,0.12,0.02,0.07,0.06,5.34,7.01,5.10,8.28,7.58,-0.17,2.48,5.39,1.95,-1.45,1.68,-4.56,0.73,-3.49,-0.92,0.20,-2.08,-4.92,-6.28,-8.07,-6.82,-6.98,0.226247034,-0.172558114,0.047672464,0.084632571,-0.100942469,0.090307886,-0.037237665,-0.052351838,-0.053895897,-0.101647071,0.036830144,-0.050376229,0.025795837,-0.011899105,-0.010188765,-0.009738199,0.026210226,-0.006277667,-0.015300796,-0.005673958,0.001479879,1.98E-16
91,    Ap24G22,CRD,NEW ELANDS,no,Kaapvaal,13860,66770,11020,255100,129300,18.85,1151,10200,396.4,13.43,228.9,0.021738753,193.2,3.68,18.19,0.81,18.12,0.81,0.16,0.02,0.007086628,0.09,5.79,7.36,5.56,8.70,8.02,-0.81,3.30,5.48,2.24,-1.15,1.69,-7.57,1.52,-2.44,-0.85,-3.96,-0.85,-3.96,-5.58,-7.66,-8.70,-6.15,0.050266811,-0.053502599,-0.326600043,0.131592498,0.06577591,0.096350752,0.149853498,0.054449843,-0.027475086,-0.008055164,-0.007717463,-0.002964051,0.01622332,-0.018567864,-0.017719957,0.025406869,-0.00319104,-0.010668109,0.003962151,0.004737264,-0.00093314,-7.63E-17
92,    Ap24G23,CRD,NEW ELANDS,no,Kaapvaal,14690,75810,11200,255500,124100,19.91,1099,10500,411.9,14.2,241.7,0.045159175,195.8,3.53,16.83,0.76,16.97,0.77,0.2,0.01,0.007575665,0.09,5.83,7.47,5.56,8.69,7.97,-0.77,3.24,5.50,2.26,-1.11,1.72,-6.86,1.51,-2.50,-0.94,-4.04,-0.93,-4.03,-5.37,-8.37,-8.65,-6.17,0.051220964,-0.044574278,-0.290939885,0.088569022,0.038371703,0.066618516,0.171824416,0.018016305,-0.090234956,0.024102573,-0.058541695,0.013393054,0.007864117,-0.002157932,-0.003580513,0.035152416,0.005328941,0.003139127,-0.013370244,0.005567286,-0.000495994,7.29E-17
93,    Ap24G24,CRD,NEW ELANDS,no,Kaapvaal,15180,79480,11670,257200,128900,26,1170,10420,402.2,14.73,239.2,0.19,188.9,3.64,19.52,2.63,17.95,0.81,0.09,0.01,0.009332781,0.1,5.73,7.39,5.47,8.56,7.87,-0.64,3.17,5.35,2.10,-1.21,1.58,-5.56,1.34,-2.61,-0.93,-2.93,-1.01,-4.11,-6.31,-8.50,-8.57,-6.20,0.088431641,-0.101125002,-0.225332782,0.014421927,-0.00201607,0.070356074,0.159657171,0.035408772,-0.077006869,0.029583788,0.01445408,-0.01630795,0.025408196,-0.014586138,-0.0105964,0.018156824,0.047646542,0.025713739,0.004224793,0.033879857,0.003987243,2.78E-16
94,    Ap24G25,CRD,NEW ELANDS,no,Kaapvaal,16420,85650,10310,256200,138600,58.75,779.2,15350,477,15.49,354.3,0.29,131,2.03,25.24,3.79,8.22,0.55,0.15,0.02,0.04,0.02,5.74,7.39,5.28,8.49,7.87,0.11,2.69,5.67,2.20,-1.22,1.91,-5.20,0.91,-3.26,-0.74,-2.63,-1.86,-4.56,-5.86,-7.88,-7.18,-7.88,0.097333203,-0.040647428,-0.074798098,0.120931181,-0.075587182,-0.011835256,-0.06385345,-0.034448403,-0.054864864,-0.081164442,-0.012115078,-0.051232564,0.019822174,0.016321546,-0.052374641,-0.033947444,-0.001722659,-0.023155283,0.000508565,0.009315694,0.001449695,4.16E-17
95,    Ap27H19,CRD,NEW ELANDS,no,Kaapvaal,20050,74780,11280,255400,122500,19.62,1076,10480,454.7,14.85,246.1,0.01193567,194.7,3.72,17.32,0.64,16.56,0.68,0.1,0.02,0.007260543,0.1,6.19,7.51,5.62,8.74,8.00,-0.74,3.27,5.54,2.41,-1.02,1.79,-8.14,1.56,-2.40,-0.86,-4.16,-0.91,-4.10,-6.02,-7.63,-8.64,-6.02,0.035321955,-0.004662878,-0.297780969,0.091632867,0.074976736,0.109205291,0.158129075,0.088126365,-0.009075622,-0.019183274,-0.010347337,-0.043264474,0.010987156,-0.026022586,0.00746599,-0.001444936,-0.026632313,0.002632041,0.019684,0.003491447,0.002343882,3.47E-18
96,    Ap27H20,CRD,NEW ELANDS,no,Kaapvaal,31830,74000,15040,255900,130200,31.24,1517,17030,531.1,13.43,247.1,0.100802022,287.6,2.81,50.85,1.41,18.37,1.16,0.13,0.006962248,0.08,0.03,6.32,7.17,5.57,8.41,7.73,-0.60,3.28,5.70,2.23,-1.45,1.46,-6.34,1.62,-3.01,-0.12,-3.70,-1.14,-3.90,-6.09,-9.01,-6.57,-7.55,0.136571444,-0.068308617,-0.237559561,-0.013129617,-0.147390873,-0.092288397,0.043187707,0.028992532,-0.021358389,0.068615375,-0.060606871,0.019604665,-0.008070041,0.002295043,0.014572303,-0.013867986,-0.019066415,-0.049261469,-0.030934385,-0.008477205,-0.000248014,-4.94E-16
97,    Ap27H21,CRD,NEW ELANDS,no,Kaapvaal,24250,74020,12760,256900,140900,22.99,1277,11530,515.4,16.59,387.4,0.052942351,238.4,4.4,24.02,4.21,21.44,0.96,0.17,0.02,0.01,0.12,6.05,7.17,5.41,8.41,7.81,-0.91,3.11,5.31,2.20,-1.24,1.92,-6.98,1.43,-2.56,-0.87,-2.61,-0.98,-4.09,-5.82,-7.96,-8.65,-6.16,0.105256728,-0.087732369,-0.27613044,0.082645715,0.030928388,0.102781598,0.145944447,0.001889118,-0.053406377,-0.029971146,0.020013023,0.003237593,0.004237285,-0.040718203,0.023099448,-0.015903696,0.003308819,-0.005970357,0.030484455,-0.000757303,-0.007005059,-5.69E-16
98,    Ap27H22,CRD,NEW ELANDS,no,Kaapvaal,1501,78720,9477,243700,109600,113.3,2424,407.3,1608,49.3,117.6,0.081924532,9.43,16.77,9.28,0.79,3.1,0.4,1.69,0.18,0.02,0.01,3.61,7.57,5.46,8.70,7.90,1.03,4.09,2.31,3.68,0.20,1.07,-6.20,-1.46,-0.88,-1.47,-3.94,-2.57,-4.62,-3.18,-5.41,-7.61,-8.30,-0.291452074,-0.012842297,-0.007612306,0.796083356,0.037682503,0.046843893,-0.06731813,-0.126024487,0.187119328,0.043865233,-0.099838038,-0.096570221,-0.050475941,-0.030943155,0.041089955,-0.006487769,0.038378965,-0.024374061,0.00995846,0.009065727,-0.008439574,-3.64E-16
99,    Ap27I03,CRD,NEW ELANDS,no,Kaapvaal,1307,82400,9904,243100,129000,111.3,2049,778,1547,115.9,32.5,11.28,15.4,8.02,0.035521999,0.9,3.27,0.36,1.59,0.2,0.004762956,0.02,3.54,7.68,5.56,8.77,8.13,1.08,3.99,3.02,3.71,1.12,-0.15,-1.21,-0.90,-1.55,-6.97,-3.74,-2.45,-4.66,-3.17,-5.25,-8.98,-7.55,-0.420141056,-0.14743693,0.169358979,0.816068696,0.216940171,0.047758529,0.032708964,0.026821597,0.04330694,0.121479349,0.049324208,0.085187009,-0.019650257,0.057734,-0.030337791,-0.046724119,0.011441322,0.039607639,-0.023147048,-0.012920533,0.000668998,6.57E-16
