Sample,Mineral,Pipe,Diamond_High,Craton,Na,Mg,Al,Si,Ca,Sc,Ti,Mn,Sr,Y,Zr,Ba,Nd,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,Ta,Na_clr,Mg_clr,Al_clr,Si_clr,Ca_clr,Sc_clr,Ti_clr,Mn_clr,Sr_clr,Y_clr,Zr_clr,Ba_clr,Nd_clr,Eu_clr,Gd_clr,Tb_clr,Dy_clr,Ho_clr,Er_clr,Yb_clr,Lu_clr,Ta_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
    Ap22D10,E,BEARTOOTH,yes,Slave,627.6,56100,74370,191100,28240,27.48,1236,1407,0.34,12.71,31.7,0.077468305,1.14,0.51,2.07,0.35,2.2,0.41,1.13,0.84,0.11,0.01,3.568509552,8.061497623,8.343414445,9.287158662,7.375101223,0.440064999,4.24624217,4.375821589,-3.95220313,-0.331004383,0.582923212,-5.431279857,-2.742365206,-3.546738022,-2.145844861,-3.923215593,-2.084936108,-3.764991588,-2.751175836,-3.047746856,-5.080668382,-7.478563654,-0.053377851,0.039229304,0.108905102,-0.225067242,0.08909193,-0.089859627,0.001313254,0.062760088,-0.016189757,-0.025619679,-0.016603052,-0.016362396,-0.048812205,-0.000973311,0.000128317,0.013830549,0.01369522,-0.000974192,0.010853786,0.013285125,0.006913475,-2.88E-16
    Ap22D11,E,BEARTOOTH,yes,Slave,483.2,37500,71800,185000,31540,36.9,1309,1738,0.41,33.94,2.96,0.055492414,0.16,0.12,0.65,0.26,3.34,1.16,4.47,6.65,1.13,0.006160144,3.293978664,7.64564423,8.295187773,9.241659122,7.472559878,0.721759569,4.290566784,4.574038323,-3.778050102,0.638142277,-1.801262714,-5.77796093,-4.719033446,-5.006715519,-3.317234898,-4.23352563,-1.680481175,-2.738031977,-1.389063574,-0.991835128,-2.76423435,-7.976107176,0.215120001,-0.225177696,0.313619204,0.257290624,-0.034347314,-0.001593681,-0.066017401,-0.02026584,0.025830938,0.064149668,0.057794927,-0.024967879,0.056216798,-0.028005864,0.00738695,0.009364583,0.015926455,0.009772497,-0.01187617,0.006007577,-0.003527826,2.08E-17
    Ap22D12,E,BEARTOOTH,yes,Slave,552.3,56930,73130,191600,39440,33.6,1329,1019,0.31,4.92,8.19,0.18,0.71,0.13,0.54,0.12,0.66,0.17,0.49,0.42,0.06,0.03,3.83929874,8.474785085,8.725201321,9.688372507,8.107743171,1.03973343,4.717389421,4.451784396,-3.645975619,-0.881484107,-0.371878739,-4.189591065,-2.817282946,-4.515013466,-3.090978777,-4.595056173,-2.890308081,-4.246749479,-3.188142525,-3.342293205,-5.288203354,-5.981350535,-0.320507811,0.174978942,0.129707293,-0.05974375,0.034604123,-0.077463545,-0.102584093,0.006416663,0.049582945,-0.015038966,-0.032775515,-0.043561114,-0.01360377,0.006744351,-0.025078896,0.007244441,-0.007817212,0.029281153,-0.002672843,0.01809332,0.001497677,-3.40E-16
    Ap22D13,E,BEARTOOTH,yes,Slave,298.638752,42460,75420,189500,59860,43.07,1297,1049,2.91,5.67,4.41,2.83,1.16,0.27,0.71,0.13,0.97,0.18,0.64,0.61,0.12,0.04,2.863625316,7.820708396,8.395218431,9.316534964,8.164154442,0.92721736,4.332199845,4.119983269,-1.767456258,-1.100420222,-1.35173465,-1.795332628,-2.687189334,-4.144942659,-3.178099648,-4.875830168,-2.866068547,-4.550407767,-3.281896442,-3.329905661,-4.955872876,-6.054485164,-0.340048614,0.061342138,-0.073297969,-0.075333414,0.005550022,-0.013569943,-0.065422474,-0.023574357,0.04227788,-0.015791042,0.014323267,0.007052871,0.064988732,-0.01543312,-0.021895793,0.003114785,-0.00696587,-0.022694237,-0.012265938,0.012161016,0.008531083,-5.55E-17
    Ap22D14,E,BEARTOOTH,yes,Slave,989.3,37050,70950,184400,40090,35.74,2010,1702,0.4,27.31,4.19,0.04123975,0.36,0.22,0.58,0.32,3.36,0.98,3.15,3.47,0.5,0.01,3.95915379,7.582179798,8.23188685,9.187018757,7.661038373,0.638426677,4.668046168,4.501715476,-3.854134565,0.369409103,-1.505143099,-6.126196508,-3.95949508,-4.451971565,-3.482571008,-4.077278116,-1.725902859,-2.95804654,-1.79044138,-1.693689239,-3.630991013,-7.543014019,0.110027549,-0.158067527,0.248630338,0.121512756,-0.018003834,-0.110667856,-0.059616131,-0.01012465,0.006303119,0.051625114,-0.001762064,-0.008122522,0.017003418,-0.044568077,0.027923792,-0.046772849,-0.036417958,-0.000722179,0.004347061,0.007048389,-0.005155256,-3.60E-17
    Ap22D15,E,BEARTOOTH,yes,Slave,276.0759885,26760,72700,180500,50550,46.68,1253,1853,1.97,32.41,12.09,18.76,1.28,0.66,2.82,0.59,4.75,1.09,3.58,3.84,0.6,0.04,2.034252304,6.60823967,7.607672819,8.517062213,7.24429438,0.256891963,3.546872111,3.938137382,-2.908390302,-0.107956827,-1.09404518,-0.654696901,-3.339563766,-4.001939288,-2.549686959,-4.114056586,-2.028279226,-3.500246148,-2.311061044,-2.240951478,-4.097249468,-6.805299669,-0.006500803,-0.333666792,-0.131326075,-0.055091273,0.069826147,0.03642093,0.038255567,0.016907233,0.081360545,0.006595126,-0.00046682,0.020168468,0.053663346,-0.005264809,0.016470172,0.007459165,0.001995836,-0.00063022,-0.008445074,0.007879041,0.00881008,1.11E-16
    Ap22D16,E,BEARTOOTH,yes,Slave,903.3,34450,71380,186300,59230,26.36,2139,1375,1.25,13.53,31,2.5,2.5,0.83,2.27,0.43,2.26,0.49,1.43,1.42,0.21,0.008045998,3.531929301,7.173138853,7.901647574,8.860988134,7.715058026,-0.002277713,4.393968286,3.952083587,-3.050981872,-0.669215981,0.159861782,-2.357834691,-2.357834691,-3.460455001,-2.454345591,-4.118095493,-2.45876061,-3.987475311,-2.916450979,-2.923468551,-4.834773171,-8.096705888,-0.129869291,-0.112425783,-0.061311617,-0.236954966,0.025302505,-0.119712851,0.110073582,-0.015225067,-0.02983562,-0.056863006,0.000876628,0.019777211,0.035517263,0.025156883,0.022865337,-0.001972074,-0.019647073,0.011125894,-0.013434185,-0.001535049,-0.003075221,3.00E-16
    Ap22D17,E,BEARTOOTH,yes,Slave,1752,26860,70570,180500,50430,48.7,1340,1851,0.48,31.35,14.04,0.46,1.26,0.7,2.89,0.72,4.7,1.11,3.27,3.45,0.48,0.01,4.091584033,6.821464232,7.787431166,8.726556818,7.451412277,0.508749792,3.823495655,4.146552074,-4.110898413,0.068285029,-0.73501884,-4.153458028,-3.145817517,-3.733604182,-2.315672736,-3.705433305,-1.82936673,-3.272569223,-2.192139254,-2.138555007,-4.110898413,-7.982099424,0.118832735,-0.21922339,0.028866257,-0.102509968,0.065085061,-0.149910482,0.109990102,0.010823166,0.026923229,0.019907978,-0.045179588,0.006953785,0.021888205,-7.68E-05,-0.007056398,0.006086708,-0.015888633,0.015428594,0.004412342,0.007160709,0.002292577,-3.33E-16
    Ap22D18,E,BEARTOOTH,yes,Slave,1125,36250,73430,183100,60360,28.5,2246,1384,1.65,14.74,34.62,2.28,2.81,0.96,2.95,0.4,2.63,0.64,1.62,1.4,0.2,0.007940779,3.672562351,7.145218696,7.851111886,8.764811767,7.655105949,-0.003071877,4.363930171,3.879757172,-2.852200676,-0.662411077,0.191455586,-2.528800521,-2.319791481,-3.393797959,-2.271170794,-4.269266696,-2.385992118,-3.799263067,-2.870549815,-3.016503727,-4.962413876,-8.188719894,-0.118212957,-0.122763671,-0.080172422,-0.251072262,0.027982656,-0.141012398,0.120181526,-0.00146446,-0.043734506,-0.059627792,7.46E-05,0.017423923,0.031717084,0.025915149,0.016233297,-0.021320839,0.022580212,0.016798636,0.006430824,-0.000528574,0.004187019,2.48E-16
    Ap22D19,E,BEARTOOTH,yes,Slave,333.1046065,36290,72860,184700,63730,61.1,2451,1762,2.65,21.04,6.69,5.69,0.76,0.38,1.73,0.39,3.47,0.85,2.36,2.59,0.41,0.02,2.435863336,7.126704262,7.823701833,8.753894928,7.68981745,0.739918628,4.431658145,4.101611568,-2.398033598,-0.32616785,-1.471979364,-1.63388299,-3.647030084,-4.340177264,-2.82447183,-4.314201778,-2.128438644,-3.535112168,-2.513931619,-2.420935362,-4.264191357,-7.284616243,-0.0638736,-0.230377447,-0.027346841,0.010352154,-0.021508323,0.016261582,0.004320135,0.053472148,0.029117425,-0.035680009,-0.016539605,0.010531623,0.07064692,-0.02485813,0.008732536,3.17E-05,0.011346024,0.005162032,-0.008943211,-0.00680667,0.007997204,3.34E-17
    Ap22D20,E,BEARTOOTH,yes,Slave,753.9,46490,76310,192000,78200,11.67,1082,622,0.86,3.68,5.2,0.071915496,1.29,0.28,0.71,0.16,0.83,0.15,0.33,0.24,0.03,0.05,4.180842182,8.302574964,8.798141719,9.7208331,8.822607375,0.012603895,4.542148908,3.988522542,-2.595240441,-1.141504799,-0.795758926,-5.076681064,-2.189775333,-3.717383227,-2.78690786,-4.276999015,-2.630747129,-4.341537536,-3.553080176,-3.871533907,-5.950975448,-5.440149825,-0.3534626,0.203518089,0.017668592,-0.270083482,0.024328956,-0.185458732,-0.124234342,0.046394,0.055497759,0.054100602,0.008123732,-0.075314727,-0.041264802,-0.007367826,-0.007937623,-0.010636635,-0.017484553,-0.007233612,0.004899578,-0.002115039,0.004053686,-2.50E-16
    Ap22D21,E,BEARTOOTH,yes,Slave,860.4,42550,70530,183800,46330,31.97,2586,1486,0.58,18.48,9.13,0.33,0.53,0.19,0.81,0.27,2.74,0.7,2.06,2.35,0.35,0.01,3.74358393,7.644621667,8.149979963,9.107790021,7.729731511,0.450984496,4.844054092,4.290029758,-3.558540643,-0.097124401,-0.802247773,-4.122476092,-3.64869174,-4.674544674,-3.224534499,-4.323146787,-2.005855547,-3.370488411,-2.291107485,-2.159398139,-4.063635592,-7.618983653,-0.03815475,-0.146923506,0.168873707,0.067985734,-0.032986327,-0.090864176,-0.017359662,0.001728386,0.001830475,-0.013222057,-0.004327678,-0.033492628,0.023250257,-0.005685167,0.023497577,-0.01641204,-0.002139651,-0.000523684,-0.005050798,-0.005465928,0.00316068,2.93E-16
    Ap22D22,E,BEARTOOTH,yes,Slave,270.6011386,33580,71670,182400,69100,24.46,733.2,1120,0.94,8.98,12.73,0.075997226,1.71,0.69,1.57,0.26,1.64,0.36,1.01,1.02,0.15,0.006357542,2.81919174,7.640231747,8.398373346,9.332503173,8.361855826,0.415584947,3.815964333,4.239629781,-2.843329587,-0.586454301,-0.237492771,-5.358512619,-2.244960813,-3.152517865,-2.330378564,-4.128527831,-2.286757942,-3.803105431,-2.771503853,-2.761651556,-4.678574168,-7.839567593,-0.031806075,0.03178824,0.02032716,-0.286055811,0.058798653,-0.048576194,-0.005994691,-0.056510984,-0.023917012,-0.001731896,0.039476649,0.004828297,0.037468555,-0.033168484,-0.015179406,-0.003851926,-0.000651754,0.002715592,0.009096657,-0.005682579,-0.002167642,-3.29E-16
    Ap22E03,E,BEARTOOTH,yes,Slave,963.3,47630,63130,183800,33120,28.64,2069,1668,0.31,11.46,7.88,0.084620805,0.4,0.1,0.45,0.13,1.56,0.47,1.65,2.47,0.37,0.02,4.114626453,8.015479657,8.297212934,9.365865052,7.652154172,0.599065905,4.879082241,4.663642146,-3.926921418,-0.316875726,-0.691410533,-5.225313561,-3.672029169,-5.05832353,-3.554246133,-4.795959265,-2.311052616,-3.510761021,-2.254963149,-1.851520286,-3.74999071,-6.667761442,-0.088784143,-0.058639477,0.242631946,0.174822408,-0.029576995,-0.092444574,-0.088071129,-0.087366516,0.040113111,0.004524685,-0.004694836,0.007655456,-0.025213363,0.002364005,-0.000542391,0.00161532,0.01587665,0.004471681,0.009261179,-0.000639007,-0.009301824,2.26E-17
    Ap22E04,E,BEARTOOTH,yes,Slave,1705,40100,72310,182500,64270,38.16,2787,1410,1.18,28.39,14.38,0.35,0.88,0.37,1.94,0.59,5.11,1.03,2.97,2.39,0.33,0.01,4.110061517,7.267872741,7.857458838,8.783246579,7.739589366,0.310528974,4.601462155,3.920086111,-3.165744434,0.014778098,-0.66542052,-4.381080997,-3.459092244,-4.325511146,-2.6685709,-3.858891615,-1.700059468,-3.30170007,-2.24269692,-2.459965507,-4.439921497,-7.936429059,0.021854539,-0.221080805,0.074199658,-0.042385192,-0.011881733,-0.171730817,0.045920036,0.076103273,-0.019889835,-0.012593949,-0.022913461,-0.067063737,0.012206973,-0.016853139,0.007298732,-0.004533451,-4.13E-05,-0.006569952,0.008814152,0.008702466,0.004575176,-2.38E-16
    Ap22E05,E,BEARTOOTH,yes,Slave,293.1108853,36340,68840,180700,50720,46.8,2070,2231,0.77,32.21,16.61,0.08431817,1.5,0.61,2.61,0.62,5.2,1.18,3.72,4.01,0.6,0.01,2.371834553,7.191957909,7.830823818,8.795877044,7.525359156,0.53716677,4.326587453,4.401488762,-3.570081197,0.163560531,-0.498711509,-5.781874332,-2.903251325,-3.803012755,-2.349366211,-3.786752234,-1.660057807,-3.143201994,-1.994992764,-1.919925191,-3.819542057,-7.913886619,0.163171502,-0.22444994,0.072474492,-0.130274544,0.052739988,-0.03379591,-0.040009158,-0.043144699,-0.034780741,-0.049657277,-0.036173648,0.023229929,0.002558622,-0.036596633,0.002158752,0.007669771,-0.002772323,0.000859651,0.000605834,0.001088829,0.000711615,-2.29E-16
    Ap22E06,E,BEARTOOTH,yes,Slave,1382,48300,64150,186400,33870,31.23,2086,1661,1.26,11.82,8.15,2.98,0.49,0.13,0.52,0.15,1.64,0.45,1.74,2.64,0.41,0.03,4.160383749,7.714283585,7.998076115,9.064746926,7.359381691,0.370475916,4.572100381,4.344271855,-2.839791534,-0.601110243,-0.972885328,-1.978979954,-3.784253143,-5.111124083,-3.724829722,-4.96802324,-2.576207013,-3.869410951,-2.517018142,-2.100124338,-3.962501374,-6.577461152,-0.202256306,-0.125245164,0.088532699,0.211145873,-0.049946096,-0.075065121,0.003073906,-0.055015692,0.051375618,0.008833405,0.020695356,0.012521595,-0.003633929,0.021090794,0.010319326,0.006533387,0.005234763,-0.004157755,0.004032422,0.001852143,-0.009985856,1.14E-16
    Ap22E07,E,BEARTOOTH,yes,Slave,970.4,50490,67380,187400,35440,34.24,2052,1650,0.27,14.61,9.45,0.075266531,0.55,0.14,0.59,0.21,1.85,0.54,1.97,2.73,0.47,0.02,3.995701018,7.947523236,8.236096177,9.258993309,7.593589065,0.651387212,4.744562867,4.526523227,-4.19134066,-0.200301114,-0.635992598,-5.468727057,-3.47984434,-4.848120196,-3.409640082,-4.442655088,-2.266821701,-3.498193479,-2.203973797,-1.87770573,-3.637029924,-6.794030345,-0.044418981,-0.085143128,0.218568497,0.121932661,-0.001160005,-0.1038745,-0.080790208,-0.080481427,0.02951862,-0.00246041,-0.001474335,-0.002543897,-0.025360699,0.009837763,-0.021285816,0.003731115,-0.020473563,0.005901338,-0.008540018,0.006059888,-0.006788729,-1.86E-16
    Ap27A11,E,BEARTOOTH,yes,Slave,1573,56520,77670,191700,51100,52.2,3346,2523,0.28,34.23,9.16,0.042905537,0.86,0.23,1.31,0.44,4.44,1.25,4.36,5.88,1.01,0.005604111,4.114801415,7.696411349,8.014285873,8.917748441,7.595601288,0.709144007,4.869582393,4.587265461,-4.518904164,0.287163964,-1.031092309,-6.394692879,-3.396761378,-4.715614458,-2.975911351,-4.06691904,-1.755284112,-3.022794937,-1.773466431,-1.474381726,-3.235988157,-8.43019325,0.15572788,-0.183419049,0.252409293,0.086009244,-0.019842148,-0.127502465,-0.010699446,-0.087417546,-0.058910551,-0.035600058,-0.045579299,-0.014697729,-0.011276276,0.022415186,-0.017472242,-0.001093082,-0.010446613,0.007284485,-0.006509961,0.004018993,0.012905128,-1.39E-16
    Ap27A12,E,BEARTOOTH,yes,Slave,811.4,60580,77930,188700,50130,52.07,3238,2530,0.64,34.05,9.67,0.061391771,0.74,0.19,1.11,0.39,4.58,1.45,4.86,5.52,1.08,0.006361784,3.436087912,7.749046846,8.000893028,8.885240492,7.559701671,0.689915728,4.820037895,4.573301343,-3.708960342,0.265156794,-0.99364493,-6.053152711,-3.563778332,-4.923404446,-3.158313224,-4.204281779,-1.740974241,-2.891109683,-1.681634801,-1.554295379,-3.185712198,-8.320119645,0.141959299,-0.210060447,0.232063572,0.1245029,-0.035516543,-0.065833444,-0.046135842,-0.083018746,-0.067034069,-0.044959613,-0.021139641,-0.031790654,-0.010095356,-0.011612981,-0.009511064,-0.017213498,0.00962024,0.008740494,-0.011962996,0.009254036,0.013160415,-3.12E-17
    Ap22B10,E,KOALA,yes,Slave,322.7571443,41180,68870,189100,31390,23.49,2083,1180,0.33,12.9,10.7,0.19,0.5,0.19,0.61,0.16,1.79,0.5,1.54,2.09,0.31,0.02,2.987336577,7.836144392,8.35041236,9.360467666,7.564681062,0.367011211,4.852000853,4.283706129,-3.898226213,-0.232336277,-0.419319847,-4.450294795,-3.482710769,-4.450294795,-3.28385991,-4.622145052,-2.207347968,-3.482710769,-2.357781172,-2.052399522,-3.96074657,-6.701586594,-0.085837733,-0.104072162,0.177680584,0.041395423,0.008275233,-0.042548231,-0.114616826,-0.037297364,0.044236509,-0.013261775,0.049326481,0.007305849,0.02875768,0.00767788,0.020091155,-0.023130091,0.005452927,-0.00700138,-7.69E-05,-0.013301568,-0.005564294,3.90E-16
    Ap22B11,E,KOALA,yes,Slave,804.3,39060,73790,188700,37850,27.4,1678,1224,3.67,15.02,6.3,0.073665795,1.59,0.81,2.18,0.43,2.93,0.56,1.74,1.66,0.28,0.01,3.593840006,7.476721876,8.112846172,9.051781403,7.445253931,0.214410685,4.329225559,4.013747135,-1.795940666,-0.386749682,-1.255582695,-5.70434902,-2.632398312,-3.306853359,-2.316807451,-3.940102398,-2.021129905,-3.675950823,-2.542247215,-2.589314726,-4.369098004,-7.701302514,0.027713371,-0.059996662,-0.013095311,-0.20010239,0.013770181,-0.155703112,-0.014466807,0.010127249,-0.056265048,-0.00023126,0.043985064,0.01793039,0.016800073,-0.018859879,-0.002169895,0.013157889,-0.000192219,-0.019289529,-0.010503322,0.000688369,-0.003600679,-2.69E-17
    Ap22B12,E,KOALA,yes,Slave,683.5,36190,65370,188700,24550,29.36,1721,1650,0.31,22.85,16.86,0.21,0.49,0.3,1.52,0.41,3.46,0.84,2.58,2.9,0.44,0.01,3.477594502,7.446905963,8.038186563,9.098281578,7.058834979,0.33000105,4.401028642,4.358898413,-4.220815135,0.079318964,-0.224688201,-4.610279902,-3.762982042,-4.253604958,-2.630921819,-3.941230273,-1.808363565,-3.223985541,-2.101842755,-1.984921417,-3.870612706,-7.65480234,0.083985444,-0.181508816,0.16706722,0.006288139,0.030790742,-0.070182681,0.006943177,0.035731875,0.037140809,-0.006440169,0.003271241,-0.00104863,-0.001710278,-0.000493117,0.023542908,0.017028625,0.008590062,0.001587072,-0.015200799,-0.000503577,-0.011476282,2.22E-16
    Ap22B13,E,KOALA,yes,Slave,344.8729956,38320,70790,192500,33450,44.55,1911,1311,12.21,12.09,9.42,16.74,1.07,0.18,0.82,0.19,1.78,0.47,1.45,1.63,0.26,0.08,2.568701002,7.279252014,7.892997809,8.893376215,7.143331847,0.522136936,4.280906726,3.904070266,-0.77221993,-0.782096554,-1.03164013,-0.456674153,-3.20681657,-4.989273646,-3.472926157,-4.935206425,-2.697861854,-4.029497802,-2.902911662,-2.785895203,-4.621548866,-5.800203862,-0.301870035,-0.163804928,-0.140947315,0.091461157,-0.004061921,-0.007694318,-0.061607643,-0.021014742,0.050777363,-0.029177682,0.026958964,-0.029164822,0.042742181,-0.037638601,0.023738405,0.010444629,0.025460317,0.007347548,-0.012139863,-0.003172572,-0.004311184,1.73E-16
    Ap22B14,E,KOALA,yes,Slave,966.1,33940,68660,186600,34080,38.29,2812,1761,0.46,20.15,15.76,0.075736527,0.63,0.29,1.53,0.34,3.08,0.75,2.27,2.88,0.41,0.01,3.812155617,7.371237807,8.075810335,9.075610835,7.375354249,0.584077034,4.880539521,4.412525377,-3.837640521,-0.057907444,-0.303636647,-5.641606446,-3.523147192,-4.298986088,-2.635843997,-4.139921393,-1.936182135,-3.348793804,-2.2413319,-2.003321438,-3.952709851,-7.666281918,0.051154687,-0.148356179,0.171841667,-0.003020094,0.001608419,-0.129584231,-0.015630396,0.002308233,0.009806971,-0.032351421,-0.027534966,0.025109036,0.015438059,-0.017496463,0.012462308,0.029027723,0.021875382,0.010894818,-0.004554704,-0.005107635,-0.000848457,-2.69E-17
    Ap22B15,E,KOALA,yes,Slave,726.7,27590,70360,184000,30790,51.19,218.7,3011,0.167389831,73.52,4.38,0.33,1.3,0.83,5.36,1.31,10.35,2.69,8.67,11.72,1.94,0.003160393,3.155655858,6.792350787,7.728522319,8.689833157,6.902087361,0.502686321,1.954843048,4.577169649,-5.220287752,0.864699598,-1.955809155,-4.541520504,-3.170493615,-3.619187458,-1.753893905,-3.162830743,-1.09587136,-2.443316686,-1.272989089,-0.971561096,-2.770169907,-9.18991683,0.50471446,-0.294889959,0.065564426,-0.075732039,0.158812084,0.02166445,0.165492471,-0.091740228,0.028275904,0.098527199,-0.028345747,-0.042706381,-0.004409272,0.041468078,-0.023991628,0.015561478,-0.003587043,0.003787482,-0.006398556,0.001736864,0.00327993,-2.36E-16
    Ap22B16,E,KOALA,yes,Slave,143.3692621,23690,66340,181800,30260,39.95,329.9,2216,0.61,66,29.94,1.22,1.88,0.92,6.54,1.43,10.71,2.45,7.31,8.43,1.27,0.05,1.307814513,6.415199255,7.44493927,8.453053419,6.659972945,0.03001963,2.141180536,4.045850006,-4.151905364,0.5320457,-0.258413663,-3.458758183,-3.026337265,-3.740990651,-1.779671877,-3.299934598,-1.286431158,-2.761521018,-1.668365768,-1.52581227,-3.418592142,-6.653341316,0.300787255,-0.426761979,-0.117343372,-0.147418782,0.2188192,0.073968328,0.00509002,-0.035603493,0.119999654,0.052645885,0.006973679,-0.033318513,-0.038536396,-0.023199668,-0.019934012,0.038826373,0.00814895,-0.001487484,-0.003516607,-0.000822386,-0.003067151,-3.90E-16
    Ap22B17,E,KOALA,yes,Slave,120.2452519,25780,66900,183400,26940,41.45,185.5,1826,0.173893988,70.14,5.21,0.4,1.48,1.33,4.53,1.15,9.73,2.32,6.93,7.7,1.1,0.01,1.472113463,6.839934316,7.793534286,8.802004878,6.88394749,0.407067921,1.905634922,4.192463101,-5.066729389,0.933073284,-1.666840105,-4.233710692,-2.925377873,-3.032241018,-1.806698021,-3.177658018,-1.042206064,-2.475852775,-1.381560147,-1.276199632,-3.222109781,-7.922590146,0.438218459,-0.319310807,-0.015667854,-0.193524782,0.230517561,0.102531639,0.028644047,-0.044417998,0.061959474,0.097116983,0.03173693,-0.035539327,0.020101407,0.020768802,-0.014735985,-0.033937256,-0.026748766,-0.021640754,0.014069804,-0.005140454,-0.010402328,-4.86E-17
    Ap22B18,E,KOALA,yes,Slave,175.2135216,28440,72270,184800,29940,11.99,254.5,2000,0.154364193,7.29,5.1,0.054716748,1.33,0.71,0.98,0.17,1.17,0.28,0.82,0.99,0.11,0.01,2.733127316,7.822673846,8.755286347,9.6941514,7.87407262,0.051194931,3.106422798,5.168024422,-4.301318619,-0.446374492,-0.803637498,-5.338463478,-2.147699095,-2.775368347,-2.453080745,-4.20483488,-2.275874289,-3.705843714,-2.631328976,-2.442928374,-4.640152951,-7.038048224,0.024874379,0.162485837,0.101649515,-0.276787214,0.127543558,0.055283779,-0.028866423,-0.141868957,0.057506993,0.100600571,-0.012523538,0.086464403,-0.042638121,-0.015172012,0.062547551,-0.023872181,-0.00724591,0.006783936,0.015744324,0.002024932,0.005466278,-3.30E-17
    Ap22B19,E,KOALA,yes,Slave,475.6,45220,66340,182900,19930,31.48,1136,1062,1.24,4.9,9.92,9.44,0.56,0.13,0.48,0.09,0.86,0.19,0.52,0.59,0.08,0.02,3.500637932,8.055355513,8.43860908,9.452755602,7.236042181,0.785413191,4.371329367,4.303969969,-2.448827853,-1.074704028,-0.369386311,-0.418983252,-3.243757728,-4.704160061,-3.397908408,-5.071884841,-2.814762122,-4.324670439,-3.3178657,-3.191571975,-5.189667877,-6.575962238,-0.369626549,0.074854512,0.016876651,0.047066865,0.002382717,-0.000111558,0.012825884,0.015242445,0.058104454,-0.031308473,0.01306692,-0.030710061,0.035213407,0.00964066,0.040078437,-0.006267357,0.026606913,-0.003896723,0.001722136,-0.013169097,0.004530312,4.34E-16
    Ap22B20,E,KOALA,yes,Slave,192.1898791,25970,66440,184300,25640,26.99,230.8,1939,0.127260812,25.63,10.3,1.51,0.83,0.65,3.36,0.68,4.76,0.93,2.38,2.24,0.3,0.005395095,2.259343282,7.165556749,8.104914008,9.125179588,7.152768355,0.296325871,2.442410979,4.5707871,-5.060657214,0.244622985,-0.66699666,-2.587030905,-3.185470134,-3.429923472,-1.787199582,-3.384803037,-1.438892887,-3.071711249,-2.132040068,-2.19266469,-4.20311336,-8.221405659,0.224577219,-0.146524236,0.04479309,-0.19503619,0.159945236,0.109447649,0.11609271,0.029444652,0.09030446,0.062134195,-0.029818784,-0.047582351,-0.001432292,0.010985443,0.038768276,0.008831652,0.008313845,-0.004452025,-0.011114303,-0.003481492,0.00079488,2.26E-16
    Ap22B21,E,KOALA,yes,Slave,311.7596069,38130,71290,190500,36980,30.13,999.6,1050,0.39,5.71,7.19,0.46,1.51,0.31,0.86,0.16,1.07,0.21,0.63,0.67,0.11,0.01,3.128741022,7.935265274,8.561019966,9.543916095,7.904641126,0.792029975,4.29386382,4.343054065,-3.555099918,-0.871272355,-0.640800207,-3.390020168,-2.201381728,-3.78467436,-2.764314268,-4.446072842,-2.54583273,-4.174139127,-3.075526838,-3.013968945,-4.820766292,-7.218661565,-0.187377444,0.108298163,0.039663621,-0.186659614,0.052845249,-0.039335948,-0.027652935,-0.071189303,0.016162924,-0.0422856,-0.005953559,-0.016459902,0.046737176,0.026287389,0.005169674,-0.010338532,-0.017701447,-0.01038613,-0.015490083,-0.006623263,0.002126995,2.28E-16
    Ap22B22,E,KOALA,yes,Slave,630.2,43660,77020,192100,54500,37.57,1331,987.7,1.78,7.01,10.9,3.36,1.1,0.34,1.19,0.2,1.19,0.29,0.69,0.72,0.11,0.04,3.460352025,7.698502426,8.266135203,9.180086145,7.920270777,0.640520656,4.208000614,3.909693804,-2.40907184,-1.038347503,-0.596922415,-1.77374423,-2.890375024,-4.064494865,-2.811731897,-4.595123116,-2.811731897,-4.22355956,-3.356748885,-3.314189271,-5.192960117,-6.204561029,-0.306882085,0.009794943,-0.069456546,-0.106523961,0.026616727,-0.074931187,-0.004112771,0.046788596,0.064307633,-0.00803056,0.019855872,-0.013532609,0.03439038,0.005610857,-0.029303665,0.005353241,0.007170525,0.015119542,-0.003358767,-0.010127479,0.009140179,-8.33E-17
    Ap22B23,E,KOALA,yes,Slave,935.9,31990,71630,188300,53810,52.87,2524,1220,0.82,15.13,6.88,0.38,0.8,0.4,1.48,0.32,2.46,0.58,1.7,1.73,0.25,0.02,3.747449157,7.279119157,8.085209783,9.051732238,7.799155126,0.873776594,4.739540747,4.012546661,-3.292510415,-0.377379948,-1.165440824,-4.061643503,-3.317203028,-4.010350208,-2.702017389,-4.233493759,-2.193898126,-3.638786652,-2.563431225,-2.545938068,-4.480353837,-7.006082482,-0.069166407,-0.119560591,0.047231543,-0.055925178,0.005836054,-0.141417963,-0.018594466,0.04991967,0.039420876,-0.016513647,-0.017519609,0.015354034,0.064454003,-0.00722388,-0.015619293,-0.002951277,-0.002334938,0.006447115,0.00697021,0.00303926,-0.002478604,-2.19E-16
