Sample,Mineral,Pipe,Diamond_High,Craton,Na,Mg,Al,Si,Ca,Sc,Ti,Mn,Sr,Y,Zr,Ba,Nd,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,Ta,Na_clr,Mg_clr,Al_clr,Si_clr,Ca_clr,Sc_clr,Ti_clr,Mn_clr,Sr_clr,Y_clr,Zr_clr,Ba_clr,Nd_clr,Eu_clr,Gd_clr,Tb_clr,Dy_clr,Ho_clr,Er_clr,Yb_clr,Lu_clr,Ta_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
    Ap24G04,E,NEW ELANDS,no,Kaapvaal,237.1055845,78610,77920,192100,43120,20.96,939.5,1501,5.29,5.69,9.44,13.07,0.94,0.36,0.77,0.16,0.98,0.3,0.86,0.69,0.1,0.02,2.508268151,8.312016802,8.303200543,9.205533954,7.711504811,0.082378465,3.885110424,4.353649437,-1.294419149,-1.221527147,-0.715281415,-0.389917867,-3.022112799,-3.981888642,-3.221602159,-4.792818859,-2.980440102,-4.164210199,-3.111060285,-3.331301076,-5.262822488,-6.8722604,-0.318528669,0.062073871,-0.063616262,-0.068560144,-0.023639401,0.09849827,0.013443684,0.020808025,-0.002824625,-0.002624609,0.07242084,0.001804763,-0.02631282,-0.004139353,0.030272836,-0.035229634,0.0063061,0.023482168,0.004135495,0.016643268,0.002018037,4.28E-16
    Ap24G05,E,NEW ELANDS,no,Kaapvaal,215.8044229,70220,75650,190200,38950,20.66,771.3,1304,0.8,4.99,6.11,0.56,0.87,0.24,0.89,0.13,0.84,0.23,0.71,0.65,0.13,0.01,2.775666104,8.560682005,8.635166275,9.557124985,7.971327607,0.429493019,4.049370958,4.574485298,-2.821849996,-0.991270535,-0.788779671,-3.17852494,-2.737968512,-4.0258228,-2.715240261,-4.638927273,-2.773059832,-4.068382415,-2.941196753,-3.029489361,-4.638927273,-7.20387663,-0.194249738,0.142734382,0.079365573,-0.112870313,0.007025935,0.061596669,-0.041599779,-0.04173948,-0.001789557,-0.014917198,0.047866121,-0.012691668,-0.014990575,0.033551186,-0.016518078,0.00459738,0.030031425,0.012104675,-0.023139939,0.014339291,0.006341845,3.30E-16
    Ap24G06,E,NEW ELANDS,no,Kaapvaal,282.9324339,71680,70640,192800,16700,33.66,1263,2314,0.106715998,14.2,9.38,0.04329241,0.29,0.18,0.85,0.23,2.15,0.5,1.69,2.24,0.32,0.003402482,3.018034466,8.552793394,8.538178181,9.542235007,7.095990345,0.889136535,4.514071468,5.119559254,-4.864757847,0.026068311,-0.388593891,-5.766951592,-3.86504801,-4.341972082,-2.789692583,-4.096849624,-1.861705812,-3.320320834,-2.102445125,-1.820697788,-3.766607937,-8.310423836,0.109821157,0.025609262,0.344945359,0.051392872,0.015040283,0.068311896,-0.041332927,0.000902275,-0.016403199,-0.030633313,-0.006834135,0.011593681,-0.036341109,0.010381542,0.023554436,0.019277916,0.001846427,-0.004182813,-0.007012691,-0.002565346,0.005548223,5.55E-17
    Ap24G07,E,NEW ELANDS,no,Kaapvaal,531.7,74220,74040,192000,40520,24.33,840.3,1442,0.97,4.84,7.4,1.02,0.87,0.38,0.92,0.14,0.95,0.21,0.64,0.71,0.11,0.01,3.554464866,8.49317438,8.490746212,9.443636096,7.887936404,0.470095602,4.012144416,4.552171763,-2.752073762,-1.144699834,-0.720134555,-2.701811927,-2.860876622,-3.689198581,-2.804996164,-4.687727411,-2.772907849,-4.282262303,-3.167901657,-3.064104864,-4.928889468,-7.326784741,-0.225537987,0.157871025,0.05296224,-0.111726789,-0.003046026,0.008607677,0.033923309,-0.006174113,-0.003449912,0.000856481,0.041757422,0.031544607,-0.024031588,0.032815555,-0.01582014,-0.000578545,0.007348497,-0.007261587,0.009957,0.000249652,0.006334605,-6.07E-17
    Ap24G08,E,NEW ELANDS,no,Kaapvaal,259.4314207,66400,76770,188300,36380,37.2,1334,2641,0.84,26.58,28.03,3.26,0.69,0.52,1.61,0.48,3.91,0.99,3.4,3.53,0.47,0.006017543,2.214956773,7.759916716,7.905033598,8.802256095,7.158238833,0.272773142,3.852401607,4.535377293,-3.517889007,-0.063376566,-0.010260254,-2.161808424,-3.714599301,-3.997462087,-2.86730144,-4.077504794,-1.979998245,-3.353585955,-2.119760188,-2.082237748,-4.098558204,-8.456611844,0.048391025,-0.190404604,0.093849647,-0.008821694,0.02106539,0.113574897,0.074572877,0.026789379,-0.027849463,-0.030135243,0.032020916,0.015591718,-0.015440848,-0.007870684,0.037470366,-0.018810288,-0.017583965,0.004102298,0.01095399,0.010719327,0.009960608,-3.12E-17
    Ap24G09,E,NEW ELANDS,no,Kaapvaal,1893,80180,69740,192400,16550,33.27,1235,1798,0.82,14.01,21.86,1.19,0.28,0.38,1.35,0.29,2.13,0.52,1.75,1.82,0.31,0.003599948,4.501640681,8.247751916,8.108251851,9.123054347,6.669863911,0.46037862,4.074548779,4.450152745,-3.242728408,-0.404506109,0.040381013,-2.870324163,-4.317243146,-4.011861496,-2.744172877,-4.282151826,-2.28815549,-3.698203937,-2.484661682,-2.445440969,-4.215460451,-8.671113311,-0.024218601,-0.030610491,0.172284503,0.07259627,-0.021559501,-0.042948138,0.162809657,0.125649037,-0.024930998,0.004029095,0.076151215,0.031098678,-0.027006617,0.025835865,-0.004997486,0.018389513,0.017961832,-0.003774648,-0.001090199,0.011816272,-0.006485042,-1.39E-17
    Ap24G10,E,NEW ELANDS,no,Kaapvaal,271.2942926,79600,72060,191700,18360,36.44,1286,1664,0.76,36.27,18.11,1.23,0.41,0.43,1.71,0.55,5.08,1.43,4.45,4.92,0.78,0.006914669,2.298816426,7.980381616,7.880866628,8.859299173,6.513541908,0.291279316,3.854904149,4.112591865,-3.578824602,0.286603197,-0.407923484,-3.097373587,-4.195985875,-4.148357826,-2.767894386,-3.902224757,-1.679076495,-2.946713312,-1.81148366,-1.711079226,-3.552849115,-8.278497953,0.146677465,-0.257297059,0.13271658,0.059945683,0.036760128,0.075615087,0.017920324,0.090740501,-0.024899664,-0.017398381,0.111782814,-0.030771953,-0.008266393,0.026183806,0.000715518,-0.022630233,-0.00858902,-0.012533077,0.000180003,-0.005650726,-0.005916325,3.89E-16
    Ap24G11,E,NEW ELANDS,no,Kaapvaal,2864,78220,71550,193900,21240,41.04,1144,2065,0.56,8.72,7.89,0.077355227,0.31,0.25,0.72,0.18,1.31,0.29,1.11,1.38,0.2,0.001732802,5.281961886,8.589268006,8.500139142,9.497085199,7.285628833,1.036534558,4.364273529,4.954872863,-3.257831138,-0.512393405,-0.612416508,-5.237359777,-3.849195624,-4.064307004,-3.00651671,-4.392811071,-2.407985505,-3.915886999,-2.573652627,-2.355929143,-4.287450555,-9.036027952,-0.022422119,0.157142925,0.27505821,0.074411243,-0.050391684,-0.092881113,0.129805106,0.028703302,-0.070886997,0.012185969,0.016798428,0.038220972,-0.023090468,0.000569645,-0.006253153,0.027893027,-0.005273431,0.000510201,0.013642579,0.012736819,-0.002075847,-4.96E-16
    Ap24G12,E,NEW ELANDS,no,Kaapvaal,332.4501247,70160,72470,189500,19070,41.93,1308,3849,6.51,12.43,25.15,24.84,1.52,0.18,0.69,0.19,1.89,0.5,1.77,2.98,0.44,0.03,2.437695813,7.789739592,7.822133927,8.783350269,6.487077664,0.367207526,3.807460497,4.886774618,-1.495454579,-0.848681129,-0.143936138,-0.156338778,-2.9500837,-5.083592463,-3.739857716,-5.029525242,-2.732217206,-4.061941215,-2.797814488,-2.276870734,-4.189774587,-6.875351932,-0.232063964,-0.091409002,-0.058627867,0.152827364,0.005389177,0.123934438,0.028527197,-0.160411137,-0.014068875,-0.058251754,-0.019107446,0.030408011,-0.074033231,-0.025177626,0.060659178,0.017680245,0.005455946,0.008198161,-0.00882282,-0.009163636,0.017186727,1.70E-16
    Ap24G13,E,NEW ELANDS,no,Kaapvaal,322.6470531,82050,70370,194400,21360,52.21,2081,2066,1.99,28.61,72.76,4.42,1.31,0.47,1.88,0.51,4.02,1.03,3.44,4.99,0.73,0.007988587,2.229432367,7.767957453,7.614395671,8.630546527,6.422148649,0.408147404,4.093477183,4.086243006,-2.858992005,-0.193370337,0.74003971,-2.060986948,-3.277099507,-4.302149228,-2.915854867,-4.220471197,-2.155844741,-3.517567842,-2.311655172,-1.939690734,-3.861837389,-8.376868004,-0.006487122,-0.246416419,0.013313282,0.009423926,0.042323568,0.051622357,0.059225663,-0.015045582,-0.075465445,-0.109733216,0.073497104,-0.007469452,-0.011153451,0.020927028,-0.000814245,0.005336152,-0.021123718,-0.001700524,0.00297784,-0.019111474,-0.005597721,9.02E-17
