Sample,Mineral,Pipe,Diamond_High,Craton,Al,Si,Ca,Sc,V,Mn,Ba,Ce,Eu,Gd,Tb,Dy,Ho,Tm,Ta,Th,Al_clr,Si_clr,Ca_clr,Sc_clr,V_clr,Mn_clr,Ba_clr,Ce_clr,Eu_clr,Gd_clr,Tb_clr,Dy_clr,Ho_clr,Tm_clr,Ta_clr,Th_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
    Ap24E06,G10,NEW ELANDS,no,Kaapvaal,52480,195600,13580,79.48,148.9,1482,0.17,0.52,0.27,0.55,0.05,0.13,0.01,0.01,0.01,0.010969672,9.52124006,10.83687967,8.169406038,3.028558055,3.656327577,5.954200443,-3.118904205,-2.000873831,-2.656280683,-1.944784364,-4.342679637,-3.387168192,-5.952117549,-5.952117549,-5.952117549,-5.859568287,-0.002977109,-0.126441923,-0.048885922,-0.126506182,-0.00290013,-0.03351618,0.043715603,0.022444969,-0.016570516,-0.055295132,-0.016714605,-0.013346852,0.027197986,-0.009031721,-0.008247189,2.43E-17
    Ap24E07,G10,NEW ELANDS,no,Kaapvaal,45300,193100,14530,87.02,176.6,1524,0.060651009,1.46,0.17,0.42,0.05,0.14,0.03,0.02,0.03,0.07,9.106360337,10.55626149,7.969268782,2.851436003,3.559185314,5.714391762,-4.417320985,-1.236265538,-3.386658816,-2.482202542,-4.610434248,-3.580814831,-5.121259871,-5.52672498,-5.121259871,-4.273962011,0.012812989,-0.020409792,0.015491621,0.020863216,-0.070835069,-0.051386746,0.000405784,0.045078185,-0.034192116,-0.003274868,0.008362081,-0.019158886,0.024456669,-0.00267321,-0.018408458,3.30E-17
    Ap24E08,G10,NEW ELANDS,no,Kaapvaal,49810,195700,13360,112.7,124.4,1608,0.040464035,0.45,0.3,0.95,0.13,0.74,0.11,0.04,0.01,0.02,9.0731259,10.44149301,7.757175301,2.981884275,3.080657034,5.639901304,-4.950186863,-2.541352842,-2.94681795,-1.79413844,-3.783065974,-2.043950239,-3.950120059,-4.961720971,-6.348015332,-5.654868151,0.195963046,-0.217491748,0.05674124,0.050496084,-0.02691601,-0.002500375,-0.051989953,-0.003904953,-0.040856775,-0.006240292,-0.019788157,-0.013660933,-0.003790279,0.014139729,-0.015007603,-2.43E-16
    Ap24E09,G10,NEW ELANDS,no,Kaapvaal,62000,199000,14800,60.44,150,1591,0.072059201,1.81,0.21,0.51,0.07,0.27,0.03,0.01,0.01,0.06,9.437833313,10.60400375,8.005326108,2.504594786,3.413578943,5.775061677,-4.227323615,-1.003729506,-3.1577041,-2.270400905,-4.256316388,-2.906389672,-5.103614249,-6.202226538,-6.202226538,-4.410467068,0.063129735,-0.060275667,-0.051461634,0.00280049,-0.021175424,0.024860385,0.031754262,0.103709959,-0.034643369,0.014924298,-0.003388377,0.021189262,0.018777504,0.002270725,0.005067378,5.81E-17
    Ap24E10,G10,NEW ELANDS,no,Kaapvaal,58760,198500,5739,93.83,151.4,1723,0.030989246,1.23,0.02242508,0.07,0.01,0.022500329,0.007106201,0.01,0.01,0.02,10.1902447,11.40757245,7.86406833,3.750512706,4.228953413,6.660850308,-4.265086957,-0.583957759,-4.588547252,-3.450231965,-5.396142114,-4.585197283,-5.73775942,-5.396142114,-5.396142114,-4.702994933,-0.309193714,-0.044518802,-0.003315012,0.013340742,0.015329394,-0.013230973,-0.107066822,0.04169344,-0.030321166,-0.039929252,0.012903506,-0.035969902,0.020406864,-0.015277747,0.000413778,-3.04E-17
    Ap24E11,G10,NEW ELANDS,no,Kaapvaal,48660,194100,19250,64.86,168.8,1900,3.42,1.19,0.36,1.46,0.31,1.47,0.29,0.08,0.02,0.02,8.413151865,9.796668017,7.485805588,1.792770349,2.74925383,5.170148413,-1.149820201,-2.205507445,-3.401111999,-2.001024316,-3.550643733,-1.994198351,-3.617335108,-4.905189396,-6.291483757,-6.291483757,0.367843421,-0.077151682,0.175285603,0.042431596,0.026934945,0.047805625,-0.008555977,0.044053863,0.058880083,-0.034374642,0.019318284,0.038198089,0.014313288,0.000822563,-0.020740179,-1.46E-16
    Ap24E12,G10,NEW ELANDS,no,Kaapvaal,57100,198700,8156,68.39,203,1467,0.050367875,0.7,0.09,0.27,0.02,0.16,0.02,0.01,0.04,0.014563717,9.68907338,10.93606541,7.743023116,2.961740599,4.049719963,6.027488762,-4.251887729,-1.62016096,-3.671431625,-2.572819336,-5.175509021,-3.09606748,-5.175509021,-5.868656202,-4.482361841,-5.492708018,-0.068491532,-0.061173224,0.030329001,-0.069496347,-0.078113819,-0.03471779,-0.103905386,0.082836738,0.014741497,0.003265369,-0.042892783,-0.012378243,0.005898649,-0.030549092,0.002227184,1.39E-17
    Ap24E13,G10,NEW ELANDS,no,Kaapvaal,52230,196000,15770,144.2,148.1,1753,0.040413188,0.44,0.35,1.04,0.16,0.77,0.14,0.03,0.01,0.02,9.049079289,10.37153691,7.851531648,3.156868193,3.183554689,5.654750853,-5.022932155,-2.635313584,-2.864155156,-1.775112319,-3.646914496,-2.075697796,-3.780445888,-5.320890929,-6.419503218,-5.726356037,0.195062831,-0.232098089,0.032786633,0.040351625,-0.054277112,0.026646477,-0.050380041,-0.026553898,-0.036367473,0.002004447,-0.005692942,-0.02527252,-0.004453172,0.008171357,-0.006126182,-1.84E-16
    Ap24E14,G10,NEW ELANDS,no,Kaapvaal,49850,196100,12350,75.87,179.8,1660,0.033637099,0.48,0.11,0.23,0.04,0.13,0.03,0.01,0.01,0.010978513,9.62495199,10.99455823,8.229589556,3.137199564,4.000023336,6.222751096,-4.58394748,-1.925790961,-3.399096699,-2.661497756,-4.410697611,-3.232042614,-4.698379683,-5.796991972,-5.796991972,-5.703637022,-0.061189434,-0.172627388,0.01898593,-0.034974314,-0.067372342,0.037832615,-0.026551735,0.036569895,-0.002028018,0.005702168,0.003006439,-0.012442209,0.029004269,-0.013140515,-0.009220431,-3.47E-17
    Ap24E15,G10,NEW ELANDS,no,Kaapvaal,57060,194600,17330,113.2,192.7,2111,0.16,0.99,0.35,0.4,0.01,0.09,0.01,0.01,0.03,0.02,9.509034842,10.73587767,8.3173706,3.286332383,3.818310793,6.212093265,-3.275405246,-1.452874118,-2.492645907,-2.359114514,-6.047993968,-3.850769391,-6.047993968,-6.047993968,-4.94938168,-5.354846788,-0.120898958,-0.039416608,-0.053212404,-0.123899033,-0.045495048,-0.10355979,0.039133847,-0.022482099,0.041257686,0.028049718,-0.059148231,-0.013222799,-0.019591581,0.004117575,-6.75E-05,2.08E-17
