Sample,Mineral,Pipe,Diamond_High,Craton,Mg,Si,Cr,Mn,Co,Ni,Mg_clr,Si_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,V1,V2,V3,V4,V5,V6
    Ap27N12,OL,KIT,no,Slave,204800,192100,26.21,549.7,99.33,2213,4.517851473,4.45383365,-4.445796682,-1.402565024,-3.113490059,-0.009833359,-0.386635554,-0.01380183,-0.006991811,-0.007418088,-0.009359901,1.91E-16
    Ap27N13,OL,KIT,no,Slave,212100,192300,62.82,478.9,93.57,2144,4.439391688,4.341390479,-3.685147958,-1.653929645,-3.286711633,-0.15499293,-0.152436498,0.028286267,0.076437442,0.016963254,-0.00408184,-4.16E-17
    Ap27N14,OL,KIT,no,Slave,207300,193800,25.41,556.8,102.9,2061,4.535496064,4.468155744,-4.471283437,-1.384220125,-3.072668592,-0.075479654,-0.395604833,0.004834224,-0.031721172,0.019765639,-0.039879351,5.20E-17
    Ap27N15,OL,KIT,no,Slave,225300,193800,20.25,484.4,86.31,2032,4.697595262,4.546989114,-4.619438071,-1.444681852,-3.169647398,-0.010817055,-0.424318834,0.060009134,0.049616237,0.011737523,0.025047655,1.01E-16
    Ap27N16,OL,KIT,no,Slave,207600,191600,10.71,578.4,94.24,2299,4.672693201,4.592489915,-5.199497345,-1.210409558,-3.024830509,0.169554296,-0.608872397,-0.023938512,-0.033765203,-0.042413608,0.029815291,-2.36E-16
    Ap27N17,OL,KIT,no,Slave,167600,192200,16.13,579.4,113.8,2486,4.380806465,4.517762773,-4.86784811,-1.286535917,-2.914086481,0.16990127,-0.538853019,-0.151629623,-0.053892976,0.001589332,-0.019226766,-2.64E-16
    Ap27N18,OL,KIT,no,Slave,222000,193100,31.69,563.2,102.4,2321,4.53548729,4.396018097,-4.318944197,-1.441310566,-3.146058659,-0.025191965,-0.342459369,-0.005150355,0.012520015,-0.028299491,-0.021682556,5.90E-17
    Ap27N19,OL,KIT,no,Slave,226000,193300,93.56,506.9,96.02,2154,4.410482946,4.254191333,-3.37920439,-1.689493586,-3.353250829,-0.242725474,-0.05556061,0.055211963,0.069567395,0.000227483,-0.020418283,1.64E-16
    Ap27N20,OL,KIT,no,Slave,213300,193400,41.23,531,103.6,2316,4.466282721,4.368343678,-4.085006037,-1.529410163,-3.163634854,-0.056575345,-0.276923168,-0.019342289,0.0371269,-0.005607052,-0.027271288,-9.02E-17
    Ap27N21,OL,KIT,no,Slave,265300,192300,35.01,567.8,94.14,2206,4.689191426,4.367386817,-4.243791379,-1.45765587,-3.254642078,-0.100488915,-0.298642704,0.0885347,0.034211005,-0.057623232,-0.015562687,5.90E-17
    Ap27N22,OL,KIT,no,Slave,242600,192900,208.8,597.5,94.05,2151,4.312378892,4.083136816,-2.745413527,-1.694036099,-3.542963827,-0.413102254,0.14439915,0.119025574,0.020203058,-0.057991046,-0.013919406,-2.43E-17
    Ap24J03,OL,NEW ELANDS,no,Kaapvaal,156500,196400,289.9,550.4,108.1,2522,3.853350368,4.080447754,-2.437924885,-1.796815635,-3.424404197,-0.274653405,0.187636793,-0.096143093,0.019737804,0.006929931,0.00759141,-7.18E-16
    Ap24J04,OL,NEW ELANDS,no,Kaapvaal,201500,194500,256.7,501.2,101.6,2420,4.118676032,4.083318814,-2.54696054,-1.877863405,-3.473825093,-0.303345809,0.181277788,-0.006677008,0.101896303,-0.004708029,-0.011625536,-2.92E-16
    Ap24J05,OL,NEW ELANDS,no,Kaapvaal,157100,195300,229,498,103.2,2369,3.931613811,4.149268104,-2.59930201,-1.822423936,-3.39635516,-0.262800809,0.141154895,-0.080397884,0.048519486,0.037921172,0.009099267,-2.14E-17
    Ap24J06,OL,NEW ELANDS,no,Kaapvaal,181400,194700,99.54,577.6,107.3,2546,4.14762255,4.218377925,-3.360277693,-1.601955679,-3.285208617,-0.118558487,-0.075058583,-0.075081506,0.007060588,-0.027225662,-6.01E-06,-2.78E-16
    Ap24J07,OL,NEW ELANDS,no,Kaapvaal,197300,192800,181,585.8,111.8,2612,4.106156047,4.083084016,-2.887827614,-1.713346211,-3.369613084,-0.218453155,0.073553004,-0.054993427,0.033059525,-0.045344351,-0.030567458,2.39E-16
    Ap24J08,OL,NEW ELANDS,no,Kaapvaal,188200,193100,87.75,556.2,115.3,3003,4.167469127,4.193172089,-3.503299517,-1.656663437,-3.230253952,0.029575689,-0.117878771,-0.143889131,0.071537131,-0.056071963,-0.008200004,-4.16E-17
    Ap24J09,OL,NEW ELANDS,no,Kaapvaal,172500,193600,283.4,522.3,106.8,2401,3.959585523,4.074982461,-2.451707665,-1.840324857,-3.427609066,-0.314926396,0.193375607,-0.057178055,0.049852886,0.013871813,-0.017637819,6.73E-16
    Ap24J10,OL,NEW ELANDS,no,Kaapvaal,147100,194600,243.9,552.8,94.48,2022,3.890608823,4.170442365,-2.511500779,-1.693262812,-3.459870912,-0.396416684,0.166674999,-0.01387345,-0.05267882,0.042662296,0.030922806,-7.63E-17
    Ap24J11,OL,NEW ELANDS,no,Kaapvaal,169200,194600,281.6,582.5,110.3,2473,3.915212363,4.055077086,-2.483136739,-1.756295178,-3.420420437,-0.310437096,0.181105096,-0.068155488,0.000655374,-0.010719257,-0.015898995,-2.34E-16
    Ap24J12,OL,NEW ELANDS,no,Kaapvaal,225000,194500,321.8,493.8,108.5,2200,4.180344557,4.034676318,-2.36958089,-1.941380548,-3.456760952,-0.447298485,0.24109972,0.042188359,0.106339201,0.026731184,-0.080773124,7.08E-16
    Ap24J13,OL,NEW ELANDS,no,Kaapvaal,172000,194800,435.1,614,119.9,3143,3.793559699,3.918038613,-2.186114167,-1.841695129,-3.475031995,-0.20875702,0.268739926,-0.144857242,0.04876013,-0.076731569,-0.004748038,-1.94E-16
    Ap24J14,OL,NEW ELANDS,no,Kaapvaal,181300,193900,280.9,614.9,122,3073,3.911759191,3.978948636,-2.558150471,-1.774689552,-3.392128161,-0.165739643,0.160896735,-0.137819376,0.042867514,-0.073641038,-0.024179927,1.54E-16
    Ap24J15,OL,NEW ELANDS,no,Kaapvaal,181400,193600,325.8,660.2,119,2481,3.91573044,3.980820077,-2.406445681,-1.700186558,-3.413605884,-0.376312393,0.207956717,-0.052392405,-0.045331991,-0.037931602,-0.055844166,5.19E-16
    Ap24J16,OL,NEW ELANDS,no,Kaapvaal,175600,195100,524.7,590.6,109.2,2461,3.84218042,3.947483987,-1.970956869,-1.852644571,-3.540602477,-0.42546049,0.339277823,-0.036235417,0.012335495,-0.020473227,-0.018102505,6.49E-16
    Ap24J17,OL,NEW ELANDS,no,Kaapvaal,172100,194500,484.5,586.9,111.8,2492,3.834240525,3.956596985,-2.038473026,-1.84673601,-3.504878897,-0.400749577,0.315973092,-0.055463717,0.012317999,-0.015953175,-0.025383254,4.41E-16
    Ap24J18,OL,NEW ELANDS,no,Kaapvaal,164200,193200,689.8,600.6,108.1,2331,3.750213493,3.912854218,-1.722225282,-1.860697827,-3.575570258,-0.504574344,0.408922548,-0.029355323,-0.018051021,-0.00896752,-0.020188406,-5.00E-16
    Ap24J19,OL,NEW ELANDS,no,Kaapvaal,180400,194700,342,549.4,107.6,2499,3.948290025,4.02457333,-2.319831124,-1.845815088,-3.476221213,-0.33099593,0.23709815,-0.047653131,0.048608714,-0.012175176,-0.01401937,2.97E-16
    Ap24J20,OL,NEW ELANDS,no,Kaapvaal,200400,194500,292.9,551.5,106.8,2550,4.05914769,4.029264484,-2.469091704,-1.836281119,-3.477965031,-0.30507432,0.202498455,-0.024434448,0.069802665,-0.032812499,-0.018573678,-1.20E-16
    Ap24J21,OL,NEW ELANDS,no,Kaapvaal,165900,195900,216.8,580.8,112.7,2547,3.933260025,4.099479152,-2.706905182,-1.721473988,-3.36115103,-0.243208977,0.110476457,-0.094548802,0.000617209,-0.007435667,-0.014109174,-4.88E-16
    Ap24J22,OL,NEW ELANDS,no,Kaapvaal,166300,194000,277.2,517.8,113.2,2460,3.92012146,4.074186233,-2.476687938,-1.851838138,-3.37227104,-0.293510576,0.179262052,-0.092319806,0.05094417,0.027286395,-0.035932099,-1.67E-16
    Ap27L03,OL,ZERO,no,Kaapvaal,207100,194500,231.3,501,79.15,2142,4.220906015,4.158136409,-2.576335464,-1.803444932,-3.648706247,-0.350555782,0.187817688,0.103945483,0.081822128,-0.027750766,0.080991861,-6.51E-16
    Ap27L04,OL,ZERO,no,Kaapvaal,222300,193300,162,549,89.59,2101,4.307634942,4.167850507,-2.916551823,-1.696049717,-3.508904452,-0.353979457,0.086432232,0.098548961,0.034593632,-0.028281772,0.012448905,4.65E-16
    Ap27L05,OL,ZERO,no,Kaapvaal,209400,192700,211.3,447.8,76.71,1995,4.282510166,4.199398443,-2.616212487,-1.865144707,-3.629459333,-0.371092082,0.177861827,0.122047441,0.117645337,0.009106462,0.069592956,-4.77E-16
    Ap27L06,OL,ZERO,no,Kaapvaal,225000,192800,226,505.2,82.8,2075,4.291705977,4.137258957,-2.611614705,-1.807195314,-3.615721643,-0.394433272,0.18296777,0.125445597,0.082738197,-0.024537109,0.039081972,-7.39E-16
    Ap27L07,OL,ZERO,no,Kaapvaal,227400,193400,191.2,539.9,80.75,2162,4.314160424,4.152210425,-2.766985436,-1.7289215,-3.628947475,-0.341516439,0.13899498,0.126102425,0.061904886,-0.057948192,0.06508965,-2.39E-16
    Ap27L08,OL,ZERO,no,Kaapvaal,224200,192900,20.21,543.9,103,2517,4.610174471,4.459807881,-4.703941787,-1.411353912,-3.07539033,0.120703677,-0.45775647,-0.044094167,0.044183233,-0.041123689,-0.008298328,-1.11E-16
    Ap27L09,OL,ZERO,no,Kaapvaal,161100,192600,212.8,519.6,83.64,2182,4.008766831,4.18735704,-2.620660981,-1.727954454,-3.554491864,-0.293016572,0.148984376,0.009777726,0.016849854,-0.004627747,0.089162405,-6.55E-16
    Ap27L10,OL,ZERO,no,Kaapvaal,202000,193600,106.8,380.6,81.4,1967,4.385036409,4.342562887,-3.160028641,-1.889237612,-3.431611294,-0.246721749,0.006043371,0.066612065,0.169590707,0.076340953,0.036737845,-2.94E-16
    Ap27L11,OL,ZERO,no,Kaapvaal,212300,193100,281,556.7,92.19,2199,4.162970658,4.068178479,-2.46443032,-1.780758494,-3.578933325,-0.407026999,0.21706148,0.077463872,0.040868109,-0.035410941,0.012053036,-5.31E-16
    Ap27L12,OL,ZERO,no,Kaapvaal,248500,194900,199.9,602.4,98.58,2216,4.323780395,4.080824156,-2.801600488,-1.698496053,-3.508549328,-0.395958682,0.126860192,0.105624307,0.026713059,-0.056316031,-0.029252144,-4.54E-16
    Ap27L13,OL,ZERO,no,Kaapvaal,195400,192400,97.36,630,101.6,2059,4.245255628,4.229783426,-3.359132942,-1.491828572,-3.316504856,-0.307572684,-0.064219128,0.035598047,-0.076504439,-0.015193952,-0.02776418,1.65E-16
    Ap27L14,OL,ZERO,no,Kaapvaal,219000,194300,262.2,594.8,91.13,2321,4.181267193,4.06159882,-2.546452244,-1.727334601,-3.603272757,-0.36580641,0.196246135,0.079266998,0.029072924,-0.070847411,0.032237132,1.39E-17
